Team Name,Encoded Value
Royal Challengers Bangalore,16
Kings XI Punjab,6
Delhi Daredevils,3
Kolkata Knight Riders,8
Rajasthan Royals,13
Mumbai Indians,10
Chennai Super Kings,0
Deccan Chargers,1
Pune Warriors,11
Kochi Tuskers Kerala,7
Sunrisers Hyderabad,18
Rising Pune Supergiants,15
Gujarat Lions,4
Rising Pune Supergiant,14
Delhi Capitals,2
Punjab Kings,12
Gujarat Titans,5
Lucknow Super Giants,9
Royal Challengers Bengaluru,17
